"_"",""NE__PropId__c"",""NE__PropId__r.Name"",""Id"",""Name"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BVEAZ"",""Capacidade Disjuntor BR"",""a1i1o000003OgAcAAK"",""40"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BVEAZ"",""Capacidade Disjuntor BR"",""a1i1o000003OgAdAAK"",""63"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BVEAZ"",""Capacidade Disjuntor BR"",""a1i1o000003OgAeAAK"",""50"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BVEAZ"",""Capacidade Disjuntor BR"",""a1i1o000003OgAfAAK"",""100"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BVEAZ"",""Capacidade Disjuntor BR"",""a1i1o000003OgAgAAK"",""125"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BVEAZ"",""Capacidade Disjuntor BR"",""a1i1o000003OgAhAAK"",""175"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BVEAZ"",""Capacidade Disjuntor BR"",""a1i1o000003OgAiAAK"",""200"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BVEAZ"",""Capacidade Disjuntor BR"",""a1i1o000003OgAnAAK"",""16"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BVEAZ"",""Capacidade Disjuntor BR"",""a1i1o000003OgAoAAK"",""20"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BVEAZ"",""Capacidade Disjuntor BR"",""a1i1o000003OgApAAK"",""25"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BVEAZ"",""Capacidade Disjuntor BR"",""a1i1o000003OgAqAAK"",""32"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BVEAZ"",""Capacidade Disjuntor BR"",""a1i1o000003OgArAAK"",""80"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgAwAAK"",""A1_AZ - Categoria de tarifa A1 horosazonal azul"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgAxAAK"",""A1_CONV - Categoria de tarifa A1 convencional"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgAyAAK"",""A1_LVAZ - Categoria de tarifa A1 horo azul livre"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgAzAAK"",""A1_LVVD - Categoria de tarifa A1 horo verde livre"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgB0AAK"",""A1_VD - Categoria de tarifa A1 horosazonal verde"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgB1AAK"",""A2_AZ - Categoria de tarifa A2 horosazonal azul"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgB2AAK"",""A2_CONV - Categoria de tarifa A2 convencional"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgB3AAK"",""A2_GER - Categoria de tarifa A2 gerador"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgB4AAK"",""A2_GERAZ - Categoria de tarifa A2 gerador azul"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgB5AAK"",""A2_GERVD - Categoria de tarifa A2 gerador verde"
